compound_temp,portalaverage,systemicaverage,AUCportalminusAUCsystemicaverage,tstat,CILower97.5,CIHigher2.5,pvalue_boot,bootstrappingtrialsnumber,,,
glucose_B6_HFCS,85849647537,62913138483,22936509054,2.735368772,22571244215,23395583360,0,10000,,,
glucose_B6_water,38587697829,28801616122,9786081707,2.812279188,9696041192,9885382705,0,10000,,,
glucose_DBA_HFCS,50786060903,34786296338,15999764565,2.256051834,15775549447,16699383000,0,10000,,,
glucose_DBA_water,25631884921,19007944576,6623940346,2.331413539,6568941650,6682502516,0,10000,,,
glucose_FVB_HFCS,1.30E+11,78998533441,50594223506,2.117520471,49418166983,51867291371,0,10000,,,
glucose_FVB_water,52466833184,44452722102,8014111082,1.834421288,7924672579,8084636718,0,10000,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,glucose_B6_HFCS,22936509054,22571244215,23395583360,,,
,,,,,glucose_B6_water,9786081707,9696041192,9885382705,,,
,,,,,glucose_DBA_HFCS,15999764565,15775549447,16699383000,,,
,,,,,glucose_DBA_water,6623940346,6568941650,6682502516,,,
,,,,,glucose_FVB_HFCS,50594223506,49418166983,51867291371,,,
,,,,,glucose_FVB_water,8014111082,7924672579,8084636718,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,glucose_B6_HFCS,glucose_B6_water,glucose_DBA_HFCS,glucose_DBA_water,glucose_FVB_HFCS,glucose_FVB_water,
,,,,,22936509054,9786081707,15999764565,6623940346,50594223506,8014111082,
,,,,,22571244215,9696041192,15775549447,6568941650,49418166983,7924672579,
,,,,,23395583360,9885382705,16699383000,6682502516,51867291371,8084636718,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,glucose_B6_water,glucose_DBA_water,glucose_FVB_water,,glucose_B6_HFCS,glucose_DBA_HFCS,glucose_FVB_HFCS
,,,,,9786081707,6623940346,8014111082,,22936509054,15999764565,50594223506
,,,,,9696041192,6568941650,7924672579,,22571244215,15775549447,49418166983
,,,,,9885382705,6682502516,8084636718,,23395583360,16699383000,51867291371
,,,,,,,,,,,
,,,,,90040515,54998696,89438503,,365264839,224215118,1176056523
,,,,,-99300998,-58562170,-70525636,,-459074306,-699618435,-1273067865
