"time","variable","value","genetics","treatment","vessel","ID"
30,"B6_water_systemic_7","1208904.85","B6","water","systemic","7"
30,"B6_water_systemic_8","177640948","B6","water","systemic","8"
30,"B6_water_portal_7","na","B6","water","portal","7"
30,"B6_water_portal_8","na","B6","water","portal","8"
120,"DBA_water_systemic_4","78383399.8","DBA","water","systemic","4"
120,"DBA_water_portal_4","na","DBA","water","portal","4"
120,"DBA_HFCS_systemic_4","na","DBA","HFCS","systemic","4"
120,"DBA_HFCS_portal_4","244124952","DBA","HFCS","portal","4"
120,"FVB_water_systemic_2","na","FVB","water","systemic","2"
120,"FVB_water_portal_2","197816301","FVB","water","portal","2"
